Date,Cases,Deaths,Recovered
1/22/20,557.0,17.0,30.0
1/23/20,655.0,18.0,32.0
1/24/20,941.0,26.0,39.0
1/25/20,1433.0,42.0,42.0
1/26/20,2118.0,56.0,56.0
1/27/20,2927.0,82.0,65.0
1/28/20,5578.0,131.0,108.0
1/29/20,6167.0,133.0,127.0
1/30/20,8235.0,171.0,145.0
1/31/20,9927.0,213.0,225.0
2/1/20,12038.0,259.0,287.0
2/2/20,16787.0,362.0,476.0
2/3/20,19887.0,426.0,627.0
2/4/20,23898.0,492.0,857.0
2/5/20,27643.0,564.0,1129.0
2/6/20,30803.0,634.0,1492.0
2/7/20,34396.0,719.0,2016.0
2/8/20,37130.0,806.0,2616.0
2/9/20,40160.0,906.0,3245.0
2/10/20,42769.0,1013.0,3947.0
2/11/20,44811.0,1113.0,4684.0
2/12/20,45229.0,1118.0,5151.0
2/13/20,60382.0,1371.0,6294.0
2/14/20,66909.0,1523.0,8057.0
2/15/20,69052.0,1666.0,9396.0
2/16/20,71235.0,1770.0,10866.0
2/17/20,73270.0,1868.0,12583.0
2/18/20,75152.0,2008.0,14352.0
2/19/20,75652.0,2123.0,16121.0
2/20/20,76212.0,2248.0,18179.0
2/21/20,76841.0,2252.0,18892.0
2/22/20,78602.0,2459.0,22889.0
2/23/20,78982.0,2470.0,23394.0
2/24/20,79546.0,2630.0,25227.0
2/25/20,80399.0,2710.0,27905.0
2/26/20,81376.0,2771.0,30386.0
2/27/20,82736.0,2814.0,33278.0
2/28/20,84122.0,2873.0,36710.0
2/29/20,86013.0,2942.0,39781.0
3/1/20,88394.0,2996.0,42717.0
3/2/20,90377.0,3085.0,45601.0
3/3/20,92971.0,3160.0,48227.0
3/4/20,95279.0,3255.0,51169.0
3/5/20,98090.0,3349.0,53795.0
3/6/20,102003.0,3461.0,55863.0
3/7/20,106098.0,3565.0,58357.0
3/8/20,110047.0,3805.0,60694.0
3/9/20,114219.0,3995.0,62493.0
3/10/20,119041.0,4269.0,64400.0
3/11/20,126702.0,4613.0,66998.0
3/12/20,132492.0,4920.0,68321.0
3/13/20,146876.0,5417.0,70248.0
3/14/20,157950.0,5837.0,72620.0
3/15/20,169219.0,6480.0,76031.0
3/16/20,184027.0,7158.0,78086.0
3/17/20,199970.0,7976.0,80830.0
3/18/20,219535.0,8889.0,83317.0
3/19/20,246584.0,10005.0,84958.0
3/20/20,277359.0,11493.0,87403.0
3/21/20,309350.0,13217.0,91650.0
3/22/20,344205.0,14909.0,97867.0
