Date,Cases,Deaths,Recovered
1/23/20,98.0,1.0,2.0
1/24/20,286.0,8.0,7.0
1/25/20,492.0,16.0,3.0
1/26/20,685.0,14.0,14.0
1/27/20,809.0,26.0,9.0
1/28/20,2651.0,49.0,43.0
1/29/20,589.0,2.0,19.0
1/30/20,2068.0,38.0,18.0
1/31/20,1692.0,42.0,80.0
2/1/20,2111.0,46.0,62.0
2/2/20,4749.0,103.0,189.0
2/3/20,3100.0,64.0,151.0
2/4/20,4011.0,66.0,230.0
2/5/20,3745.0,72.0,272.0
2/6/20,3160.0,70.0,363.0
2/7/20,3593.0,85.0,524.0
2/8/20,2734.0,87.0,600.0
2/9/20,3030.0,100.0,629.0
2/10/20,2609.0,107.0,702.0
2/11/20,2042.0,100.0,737.0
2/12/20,418.0,5.0,467.0
2/13/20,15153.0,253.0,1143.0
2/14/20,6527.0,152.0,1763.0
2/15/20,2143.0,143.0,1339.0
2/16/20,2183.0,104.0,1470.0
2/17/20,2035.0,98.0,1717.0
2/18/20,1882.0,140.0,1769.0
2/19/20,500.0,115.0,1769.0
2/20/20,560.0,125.0,2058.0
2/21/20,629.0,4.0,713.0
2/22/20,1761.0,207.0,3997.0
2/23/20,380.0,11.0,505.0
2/24/20,564.0,160.0,1833.0
2/25/20,853.0,80.0,2678.0
2/26/20,977.0,61.0,2481.0
2/27/20,1360.0,43.0,2892.0
2/28/20,1386.0,59.0,3432.0
2/29/20,1891.0,69.0,3071.0
3/1/20,2381.0,54.0,2936.0
3/2/20,1983.0,89.0,2884.0
3/3/20,2594.0,75.0,2626.0
3/4/20,2308.0,95.0,2942.0
3/5/20,2811.0,94.0,2626.0
3/6/20,3913.0,112.0,2068.0
3/7/20,4095.0,104.0,2494.0
3/8/20,3949.0,240.0,2337.0
3/9/20,4172.0,190.0,1799.0
3/10/20,4822.0,274.0,1907.0
3/11/20,7661.0,344.0,2598.0
3/12/20,5790.0,307.0,1323.0
3/13/20,14384.0,497.0,1927.0
3/14/20,11074.0,420.0,2372.0
3/15/20,11269.0,643.0,3411.0
3/16/20,14808.0,678.0,2055.0
3/17/20,15943.0,818.0,2744.0
3/18/20,19565.0,913.0,2487.0
3/19/20,27049.0,1116.0,1641.0
3/20/20,30775.0,1488.0,2445.0
3/21/20,31991.0,1724.0,4247.0
3/22/20,34855.0,1692.0,6217.0
3/23/20,42835.0,1953.0,468.0
3/24/20,41179.0,2294.0,9639.0
3/25/20,51001.0,2821.0,5779.0
3/26/20,62877.0,3040.0,8372.0
3/27/20,65041.0,3494.0,8785.0
3/28/20,67280.0,3748.0,8511.0
3/29/20,59237.0,3518.0,9456.0
3/30/20,65294.0,4093.0,15337.0
3/31/20,76845.0,4767.0,13590.0
4/1/20,82835.0,6014.0,15272.0
4/2/20,83050.0,5894.0,17143.0
4/3/20,83571.0,6179.0,15422.0
4/4/20,58359.0,5956.0,20412.0
4/5/20,72610.0,5237.0,13836.0
4/6/20,73152.0,5973.0,16709.0
4/7/20,69841.0,8304.0,23262.0
4/8/20,83398.0,6846.0,28882.0
4/9/20,87020.0,7873.0,25254.0
4/10/20,85523.0,7431.0,21738.0
4/11/20,74264.0,6262.0,26250.0
4/12/20,119695.0,5939.0,19383.0
4/13/20,70741.0,6055.0,27257.0
4/14/20,84004.0,7077.0,25074.0
4/15/20,77116.0,8583.0,36539.0
4/16/20,95518.0,7382.0,30883.0
4/17/20,88033.0,8528.0,26184.0
4/18/20,77215.0,6234.0,23866.0
4/19/20,76571.0,5345.0,31783.0
4/20/20,76010.0,6037.0,22178.0
4/21/20,75758.0,7434.0,34802.0
4/22/20,81299.0,7042.0,30085.0
4/23/20,84291.0,7034.0,28730.0
4/24/20,84096.0,6954.0,50029.0
4/25/20,82243.0,5855.0,27755.0
4/26/20,71575.0,4246.0,28812.0
4/27/20,70204.0,5009.0,27884.0
4/28/20,75538.0,6820.0,33212.0
4/29/20,77131.0,6972.0,42077.0
4/30/20,83480.0,6058.0,65116.0
5/1/20,88357.0,5483.0,38157.0
5/2/20,79198.0,5826.0,40651.0
5/3/20,76397.0,3847.0,32533.0
5/4/20,77672.0,4603.0,34086.0
5/5/20,80499.0,6125.0,36473.0
5/6/20,90037.0,6868.0,46119.0
5/7/20,88724.0,5693.0,39525.0
5/8/20,90270.0,5914.0,36413.0
5/9/20,85263.0,4597.0,53441.0
5/10/20,74914.0,4011.0,33809.0
5/11/20,76658.0,3936.0,46885.0
5/12/20,84470.0,5904.0,37042.0
5/13/20,85005.0,5484.0,55872.0
5/14/20,96230.0,5574.0,39711.0
5/15/20,95718.0,5641.0,48103.0
5/16/20,94415.0,4557.0,56411.0
5/17/20,78047.0,3568.0,41008.0
5/18/20,89166.0,4152.0,52916.0
5/19/20,96747.0,5141.0,52052.0
5/20/20,101906.0,5195.0,58970.0
5/21/20,106647.0,5079.0,51220.0
5/22/20,106414.0,5680.0,108547.0
5/23/20,104792.0,4312.0,54834.0
5/24/20,94221.0,3477.0,55527.0
5/25/20,86706.0,1616.0,63729.0
5/26/20,93980.0,4664.0,55152.0
